ID,Latitude,Longitude,Date/Hour,Type,Map,City,Reliability,Number comments,Number thumbs up
200005,44.510457,26.081754,01-06-2020 00:09,Major,București,București,10,0,16
200093,44.506927,26.08187,01-06-2020 02:19,Minor,București,,8,2,5
200189,44.379673,26.08649,01-06-2020 07:58,Major,București,București,7,0,2
200251,44.404831,26.061613,01-06-2020 08:22,Major,București,București,10,3,12
200324,44.426084,26.220887,01-06-2020 09:06,Minor,București,București,6,0,0
200325,44.526508,26.040866,01-06-2020 09:03,Minor,București,Otopeni,6,0,1
200326,44.508339,26.058892,01-06-2020 09:57,Major,București,București,7,0,3
200389,44.446328,26.016622,01-06-2020 10:35,Major,București,Roșu,10,0,27
200515,44.457482,26.078706,01-06-2020 12:10,Minor,București,București,6,0,0
200516,44.452926,26.09977,01-06-2020 12:03,Major,București,București,9,0,3
200517,44.408733,26.086602,01-06-2020 12:08,Minor,București,București,10,4,17
200518,44.45939,26.12867,01-06-2020 12:22,Minor,București,București,6,1,0
200519,44.395344,26.20583,01-06-2020 12:35,Minor,București,București,7,1,0
200581,44.446965,26.015894,01-06-2020 13:20,Major,București,Roșu,10,3,32
200582,44.471913,26.075777,01-06-2020 13:43,Minor,București,București,7,0,2
200583,44.510963,26.084951,01-06-2020 13:42,Minor,București,București,6,1,0
200584,44.516146,26.093983,01-06-2020 13:44,Minor,București,București,7,1,0
200631,44.404199,26.142318,01-06-2020 14:14,Minor,București,,10,1,9
200632,44.43006,25.9751,01-06-2020 14:22,Minor,București,București,10,2,33
201078,44.465143,26.101908,01-06-2020 15:08,Major,București,București,10,2,56
201079,44.454159,26.12792,01-06-2020 15:09,Major,București,București,9,3,4
201080,44.443213,26.165658,01-06-2020 15:12,Major,București,București,10,0,11
201081,44.3971,26.004516,01-06-2020 15:42,Minor,București,Bragadiru,6,0,0
201082,44.436893,25.959271,01-06-2020 15:34,Minor,București,,7,0,2
201083,44.451762,25.994103,01-06-2020 15:59,Minor,București,Roșu,9,0,3
201084,44.447266,26.014699,01-06-2020 16:01,Major,București,Roșu,9,0,3
201085,44.410977,26.109269,01-06-2020 16:02,Major,București,București,10,4,42
201086,44.428701,26.102815,01-06-2020 16:14,Minor,București,București,10,0,6
201088,44.454005,26.056458,01-06-2020 16:18,Minor,București,București,10,3,35
201089,44.531214,26.055474,01-06-2020 16:39,Major,București,București,8,0,2
201090,44.405439,26.226265,01-06-2020 16:48,Major,București,Cățelu,10,0,8
201092,44.436388,26.034674,01-06-2020 17:43,Major,București,București,10,1,22
201093,44.414795,26.039953,01-06-2020 18:28,Major,București,București,6,0,1
201094,44.406334,26.200781,01-06-2020 18:18,Minor,București,București,10,0,8
201095,44.398314,26.222992,01-06-2020 18:43,Minor,București,Glina,6,0,0
201096,44.40825,26.11905,01-06-2020 19:57,Minor,București,București,10,1,6
201188,44.371299,26.089637,01-06-2020 20:00,Major,București,București,7,0,1
201189,44.462855,26.042306,01-06-2020 20:04,Minor,București,București,9,0,3
201266,44.389056,26.09201,01-06-2020 21:14,Major,București,București,10,0,12
201267,44.43555,26.011036,01-06-2020 21:15,Major,București,București,7,0,2
201268,44.399421,26.159967,01-06-2020 21:15,Minor,București,București,10,0,22
201269,44.418366,26.084376,01-06-2020 21:25,Minor,București,București,7,0,1
201270,44.420269,26.136375,01-06-2020 21:42,Minor,București,București,10,0,4
201329,44.433883,25.994914,01-06-2020 22:38,Minor,București,București,8,0,2
201330,44.39674,26.068661,01-06-2020 22:46,Minor,București,București,8,2,1
201331,44.455055,25.958404,01-06-2020 22:58,Major,București,,10,2,23
201371,44.410121,26.067632,01-06-2020 23:52,Major,București,București,8,3,0
201420,44.412794,26.118575,02-06-2020 00:09,Major,București,București,10,0,7
201550,44.433075,26.066844,02-06-2020 06:44,Minor,București,București,6,0,2
201551,44.413508,26.103899,02-06-2020 06:30,Minor,București,București,10,0,5
201610,44.432335,26.111666,02-06-2020 07:03,Major,București,București,10,0,27
201611,44.409947,26.163786,02-06-2020 07:51,Minor,București,București,10,0,6
201671,44.450952,26.122885,02-06-2020 08:02,Minor,București,București,10,0,4
201672,44.452991,26.110891,02-06-2020 08:06,Minor,București,București,9,0,4
201673,44.539333,26.104559,02-06-2020 08:03,Major,București,,10,11,42
201674,44.420397,26.164629,02-06-2020 08:27,Minor,București,București,10,2,7
201675,44.375613,26.137846,02-06-2020 08:19,Minor,București,București,7,0,2
201676,44.484891,26.165196,02-06-2020 08:43,Major,București,Voluntari,10,3,13
201677,44.493112,26.173252,02-06-2020 08:56,Minor,București,Voluntari,9,0,3
201678,44.530461,25.998674,02-06-2020 08:47,Minor,București,Mogoșoaia,10,2,2
201731,44.452613,26.093332,02-06-2020 09:21,Minor,București,București,10,0,5
201732,44.399337,26.049781,02-06-2020 09:19,Minor,București,București,8,2,0
201733,44.436463,26.168611,02-06-2020 09:18,Major,București,București,10,2,40
201734,44.483547,26.041143,02-06-2020 09:22,Minor,București,București,6,0,1
201735,44.347955,26.083652,02-06-2020 09:18,Minor,București,Jilava,6,0,0
201736,44.42055,26.088638,02-06-2020 09:57,Minor,București,București,10,0,7
201795,44.539331,26.104705,02-06-2020 10:04,Minor,București,,10,3,34
201796,44.466058,26.127389,02-06-2020 10:24,Minor,București,București,7,0,1
201797,44.440114,26.093263,02-06-2020 10:32,Minor,București,București,10,0,18
201798,44.443925,26.164887,02-06-2020 10:41,Minor,București,București,7,0,2
201858,44.399026,26.15962,02-06-2020 11:09,Minor,București,București,10,1,10
201860,44.434193,26.038642,02-06-2020 11:33,Minor,București,București,10,0,6
201862,44.381251,26.176978,02-06-2020 11:32,Minor,București,,7,0,1
201926,44.539326,26.105148,02-06-2020 12:35,Minor,București,,10,1,10
201972,44.435326,25.977933,02-06-2020 13:19,Minor,București,București,10,0,5
201973,44.44682,26.062605,02-06-2020 13:59,Minor,București,București,6,0,1
202013,44.470026,26.109951,02-06-2020 14:25,Minor,București,București,10,0,7
202014,44.489571,26.180002,02-06-2020 14:29,Major,București,Voluntari,7,1,3
202015,44.408532,26.148648,02-06-2020 14:20,Minor,București,București,6,0,1
202068,44.421702,26.050082,02-06-2020 15:04,Minor,București,București,6,1,0
202234,44.494323,26.195427,02-06-2020 16:27,Minor,București,Voluntari,10,1,13
202235,44.4505,25.964497,02-06-2020 16:34,Major,București,,10,0,4
202237,44.44708,26.062399,02-06-2020 17:22,Minor,București,București,10,1,30
202238,44.443897,26.118396,02-06-2020 17:15,Minor,București,București,6,0,0
